time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.5013,-0.0010,-0.9803,1.101
0.004000,-0.5459,0.0068,-1.0924,1.221
0.005000,-0.5063,-0.0113,-1.1556,1.262
0.010000,-0.4871,-0.0079,-1.1535,1.252
0.015000,-0.3957,0.0451,-1.0816,1.153
0.020000,-0.3060,0.1044,-0.9950,1.046
0.029000,-0.2510,0.1601,-0.8579,0.908
0.030000,-0.1971,0.1692,-0.6920,0.739
0.036000,-0.1446,0.1556,-0.4949,0.539
0.041000,-0.0295,0.1046,-0.3731,0.389
0.046000,0.5120,-0.1980,-0.8614,1.021
0.051000,0.2414,-0.2539,-0.2907,0.455
0.058000,-0.0472,-0.0320,0.2718,0.278
0.062000,-0.2507,0.1320,0.6131,0.675
0.066000,-0.4548,0.2192,0.8726,1.008
0.071000,-0.3787,0.2183,0.9175,1.016
0.076000,-0.1183,0.1846,0.8919,0.918
0.081000,0.1493,0.0999,0.8602,0.879
0.086000,0.3127,0.0041,0.6620,0.732
0.091000,0.4521,-0.1046,0.2633,0.534
0.096000,0.4116,-0.1511,0.2010,0.482
0.101000,0.2028,-0.0697,0.4226,0.474
0.107000,0.0262,0.0738,0.5178,0.524
0.112000,-0.1274,0.1525,0.5781,0.611
0.117000,-0.2243,0.2240,0.7031,0.771
0.122000,-0.1808,0.2415,0.5380,0.617
0.127000,-0.0771,0.1915,0.2961,0.361
0.132000,-0.0109,0.1273,0.1107,0.169
0.138000,0.0346,0.0921,-0.0352,0.104
0.142000,0.0649,0.0788,-0.1256,0.162
0.147000,0.0519,0.1067,-0.2014,0.234
0.152000,0.0384,0.1114,-0.2319,0.260
0.158000,0.0590,0.1466,-0.2753,0.317
0.162000,0.1474,0.1544,-0.6413,0.676
0.168000,0.2492,0.0887,-0.9033,0.941
0.172000,0.1495,0.0919,-0.5963,0.622
0.178000,0.0750,0.1795,-0.3753,0.423
0.182000,0.0183,0.2364,-0.2418,0.339
0.187000,-0.0426,0.2436,-0.1523,0.290
0.193000,-0.0487,0.2176,-0.0470,0.228
0.198000,-0.0268,0.1869,0.0290,0.191
0.203000,0.0278,0.1396,0.0975,0.173
0.208000,0.0654,0.1064,0.1634,0.206
0.213000,0.0885,0.0515,0.2505,0.271
0.219000,0.1405,0.0321,0.2946,0.328
0.223000,0.1547,0.0122,0.3531,0.386
0.228000,0.1599,-0.0035,0.3856,0.417
0.233000,0.1594,-0.0272,0.4067,0.438
0.240000,0.1461,-0.0305,0.4759,0.499
0.244000,0.1213,-0.0185,0.5538,0.567
0.249000,0.1169,-0.0102,0.5631,0.575
0.254000,0.0898,0.0180,0.5662,0.574
0.259000,0.0516,0.0256,0.5843,0.587
0.264000,0.0205,0.0459,0.5625,0.565
0.269000,0.0009,0.0339,0.5388,0.540
0.275000,-0.0023,0.0016,0.5036,0.504
0.280000,-0.0301,-0.0054,0.4497,0.451
0.284000,-0.0655,-0.0442,0.3843,0.392
0.289000,-0.0866,-0.0526,0.3718,0.385
0.294000,-0.0908,-0.0377,0.3883,0.401
0.299000,-0.0947,-0.0402,0.3669,0.381
0.304000,-0.0934,-0.0481,0.3793,0.394
0.309000,-0.1078,-0.0325,0.3634,0.380
0.314000,-0.0931,-0.0082,0.4148,0.425
0.320000,-0.0688,0.0063,0.4160,0.422
0.325000,-0.0702,0.0037,0.3339,0.341
0.330000,-0.0826,-0.0113,0.3358,0.346
0.335000,-0.0692,-0.0415,0.3672,0.376
0.340000,-0.0807,-0.0345,0.4876,0.495
0.345000,-0.0677,-0.0381,0.4672,0.474
0.350000,-0.0601,-0.0328,0.3682,0.375
0.355000,-0.0740,-0.0399,0.3079,0.319
0.360000,-0.1095,-0.0020,0.2573,0.280
0.365000,-0.1302,0.0070,0.2189,0.255
0.370000,-0.1268,0.0302,0.1544,0.202
0.375000,-0.1283,0.0295,0.1043,0.168
0.381000,-0.1201,0.0336,0.0567,0.137
0.386000,-0.0999,0.0404,0.0449,0.117
0.391000,-0.0893,0.0376,0.0308,0.102
0.396000,-0.0741,0.0323,0.0238,0.084
0.401000,-0.0924,0.0366,0.0289,0.104
0.406000,-0.0651,0.0458,0.0315,0.086
0.411000,-0.0858,0.0451,0.0365,0.104
0.416000,-0.0753,0.0588,0.0368,0.102
0.421000,-0.0959,0.0531,0.0587,0.124
0.428000,-0.1119,0.0353,0.0639,0.134
0.431000,-0.1161,0.0270,0.0189,0.121
0.436000,-0.1063,0.0092,-0.0071,0.107
0.442000,-0.1061,-0.0059,-0.0091,0.107
0.447000,-0.0820,0.0052,0.0032,0.082
0.452000,-0.0892,0.0163,0.0442,0.101
0.456000,-0.0770,0.0202,0.0325,0.086
0.462000,-0.0650,-0.0143,0.0448,0.080
0.467000,-0.0504,-0.0009,0.0379,0.063
0.472000,-0.0287,-0.0067,0.0526,0.060
0.478000,-0.0453,0.0113,0.0578,0.074
0.482000,-0.0115,0.0054,0.0439,0.046
0.487000,-0.0208,0.0137,0.0467,0.053
0.492000,-0.0206,0.0028,0.0233,0.031
0.498000,-0.0346,-0.0153,-0.0001,0.038
0.503000,-0.0342,0.0073,-0.0114,0.037
0.508000,-0.0459,0.0011,-0.0298,0.055
0.513000,-0.0436,-0.0002,-0.0504,0.067
0.518000,-0.0297,-0.0108,-0.0544,0.063
0.523000,-0.0158,0.0072,-0.0417,0.045
0.528000,-0.0018,0.0110,-0.0411,0.043
0.532000,0.0169,0.0054,-0.0239,0.030
0.540000,0.0426,0.0118,-0.0543,0.070
0.545000,0.0351,0.0208,-0.0537,0.067
0.548000,0.0300,0.0488,-0.0579,0.081
0.553000,0.0416,0.0553,-0.0811,0.107
0.559000,0.0343,0.0431,-0.0994,0.114
0.563000,0.0006,0.0312,-0.1035,0.108
0.568000,-0.0282,0.0457,-0.0958,0.110
0.573000,-0.0119,0.0151,-0.1096,0.111
0.579000,-0.0032,0.0156,-0.1067,0.108
0.584000,-0.0236,-0.0503,-0.0873,0.104
0.588000,-0.0466,-0.0827,-0.0800,0.124
0.594000,-0.0414,-0.1030,-0.0276,0.114
0.599000,-0.0670,-0.1284,0.0103,0.145
0.604000,-0.0467,-0.1373,0.0339,0.149
0.609000,-0.0192,-0.1296,0.0194,0.132
0.614000,-0.0106,-0.1290,-0.0401,0.135
0.619000,0.0029,-0.0972,-0.1277,0.161
0.624000,-0.0123,-0.0794,-0.2077,0.223
0.630000,-0.0084,-0.0064,-0.2849,0.285
0.634000,-0.0190,0.0287,-0.3214,0.323
0.639000,0.0007,0.0618,-0.3224,0.328
0.645000,-0.0064,0.0666,-0.2738,0.282
0.650000,-0.0137,0.0835,-0.1926,0.210
0.655000,0.0002,0.0742,-0.0930,0.119
0.660000,-0.0075,0.0386,0.0057,0.040
0.666000,-0.0057,-0.0110,0.0989,0.100
0.670000,-0.0227,-0.0487,0.1536,0.163
0.676000,-0.0442,-0.0627,0.1842,0.200
0.680000,-0.0651,-0.1006,0.1982,0.232
0.686000,-0.0807,-0.1172,0.1979,0.244
0.690000,-0.0931,-0.1101,0.1765,0.228
0.696000,-0.0812,-0.1246,0.1507,0.212
0.701000,-0.0713,-0.1248,0.1015,0.176
0.706000,-0.0590,-0.1083,0.0337,0.128
0.710000,-0.0537,-0.0825,-0.0312,0.103
0.716000,-0.0726,-0.0543,-0.0885,0.127
0.721000,-0.0679,-0.0072,-0.1455,0.161
0.726000,-0.0421,0.0182,-0.1712,0.177
0.731000,-0.0237,0.0389,-0.1825,0.188
0.736000,0.0085,0.0618,-0.1749,0.186
0.741000,0.0332,0.0587,-0.1507,0.165
0.747000,0.0624,0.0866,-0.1197,0.160
0.751000,0.0678,0.0811,-0.1033,0.148
0.756000,0.0805,0.0995,-0.0750,0.148
0.761000,0.0837,0.0727,-0.0542,0.123
0.767000,0.0538,0.0746,-0.0145,0.093
0.771000,0.0292,0.0767,-0.0084,0.082
0.777000,-0.0046,0.0574,0.0048,0.058
0.782000,-0.0166,0.0264,0.0297,0.043
0.787000,-0.0310,0.0241,0.0284,0.048
0.793000,-0.0783,0.0243,0.0365,0.090
0.797000,-0.0705,0.0245,0.0351,0.082
0.802000,-0.1030,0.0130,0.0550,0.117
0.807000,-0.1091,0.0134,0.0558,0.123
0.812000,-0.1082,0.0161,0.0755,0.133
0.817000,-0.1264,0.0307,0.0928,0.160
0.823000,-0.1134,0.0234,0.1504,0.190
0.827000,-0.0936,-0.0030,0.1648,0.190
0.833000,-0.0759,0.0109,0.1722,0.189
0.838000,-0.0559,0.0127,0.1725,0.182
0.845000,-0.0359,-0.0191,0.1634,0.168
0.848000,-0.0538,-0.0221,0.1401,0.152
0.853000,-0.0719,0.0057,0.0886,0.114
0.858000,-0.0755,0.0214,0.0589,0.098
0.863000,-0.0908,0.0204,0.0318,0.098
0.868000,-0.0615,0.0455,0.0119,0.077
0.873000,-0.0588,0.0372,0.0254,0.074
0.879000,-0.0634,0.0432,0.0316,0.083
0.884000,-0.0305,0.0254,0.0496,0.064
0.888000,-0.0430,0.0265,0.0770,0.092
0.893000,-0.0008,0.0086,0.0876,0.088
0.899000,-0.0113,0.0145,0.1076,0.109
0.903000,-0.0050,0.0108,0.1203,0.121
0.908000,0.0157,-0.0049,0.1496,0.151
0.914000,0.0150,-0.0062,0.1574,0.158
0.919000,0.0120,-0.0244,0.1700,0.172
0.924000,0.0283,-0.0117,0.1588,0.162
0.930000,0.0490,-0.0113,0.1430,0.152
0.934000,0.0794,0.0128,0.1180,0.143
0.939000,0.0905,0.0484,0.1122,0.152
0.945000,0.0922,0.0576,0.0875,0.140
0.949000,0.1129,0.0547,0.0536,0.136
0.954000,0.1263,0.0898,0.0270,0.157
0.959000,0.1348,0.0939,-0.0065,0.164
0.965000,0.1383,0.1147,-0.0492,0.186
0.969000,0.1534,0.1116,-0.0537,0.197
0.974000,0.1681,0.1205,-0.0393,0.211
0.980000,0.1682,0.1245,-0.0154,0.210
0.985000,0.1755,0.1046,0.0201,0.205
0.990000,0.1803,0.0966,0.0364,0.208
0.995000,0.1635,0.1147,0.0550,0.207
1.000000,0.1682,0.1016,0.0640,0.207
1.005000,0.1351,0.0982,0.0776,0.184
1.010000,0.1449,0.0804,0.0556,0.175
1.015000,0.1358,0.0961,0.0646,0.178
1.020000,0.1268,0.0711,0.0642,0.159
1.025000,0.1228,0.0628,0.0709,0.155
1.031000,0.0998,0.0498,0.0586,0.126
1.036000,0.1054,0.0486,0.0749,0.138
1.041000,0.1181,0.0307,0.0626,0.137
1.048000,0.1355,0.0390,0.0553,0.151
1.051000,0.1433,0.0636,0.0457,0.163
1.056000,0.1370,0.0667,0.0410,0.158
1.061000,0.1474,0.0578,0.0244,0.160
1.066000,0.1554,0.0609,0.0199,0.168
1.071000,0.1517,0.0476,-0.0084,0.159
1.077000,0.1362,0.0414,-0.0056,0.143
1.081000,0.1304,0.0189,-0.0075,0.132
1.086000,0.1249,0.0084,-0.0119,0.126
1.091000,0.1075,0.0075,-0.0019,0.108
1.096000,0.0807,0.0113,0.0033,0.082
1.102000,0.0685,-0.0064,0.0037,0.069
1.106000,0.0540,-0.0287,0.0136,0.063
1.111000,0.0374,-0.0508,0.0211,0.067
1.117000,0.0066,-0.0702,-0.0048,0.071
1.121000,-0.0124,-0.0728,-0.0116,0.075
1.128000,-0.0266,-0.0588,-0.0183,0.067
1.132000,-0.0434,-0.0734,-0.0060,0.086
1.137000,-0.0507,-0.0500,0.0181,0.073
1.142000,-0.0579,-0.0601,0.0444,0.095
1.147000,-0.0533,-0.0703,0.0586,0.106
1.152000,-0.0580,-0.0592,0.1013,0.131
1.159000,-0.0291,-0.0530,0.0773,0.098
1.163000,-0.0433,-0.0517,0.0749,0.101
1.167000,-0.0288,-0.0291,0.0487,0.064
1.172000,-0.0146,-0.0090,0.0299,0.034
1.179000,-0.0266,-0.0059,0.0279,0.039
1.183000,-0.0127,-0.0123,0.0235,0.029
1.187000,-0.0109,-0.0283,0.0145,0.034
1.194000,-0.0283,-0.0181,0.0079,0.035
1.199000,-0.0029,-0.0508,0.0203,0.055
1.203000,-0.0064,-0.0738,0.0303,0.080
1.208000,-0.0050,-0.0853,0.0712,0.111
1.213000,-0.0057,-0.0992,0.0883,0.133
1.220000,-0.0202,-0.1205,0.0959,0.155
1.223000,-0.0035,-0.1275,0.0370,0.133
1.228000,0.0017,-0.1248,-0.0214,0.127
1.234000,0.0000,-0.0862,-0.0864,0.122
1.239000,-0.0346,-0.0548,-0.1273,0.143
1.246000,-0.0453,-0.0208,-0.1988,0.205
1.249000,-0.0396,0.0063,-0.2392,0.243
1.254000,-0.0391,0.0169,-0.2604,0.264
1.259000,-0.0132,0.0636,-0.2557,0.264
1.264000,-0.0163,0.0912,-0.2132,0.232
1.269000,-0.0389,0.0903,-0.1499,0.179
1.274000,-0.0498,0.0656,-0.0657,0.105
1.280000,-0.0650,0.0458,0.0345,0.087
1.285000,-0.0561,0.0092,0.1055,0.120
1.289000,-0.0444,-0.0297,0.1594,0.168
1.294000,-0.0609,-0.0755,0.1869,0.211
1.300000,-0.0627,-0.0999,0.1954,0.228
1.304000,-0.0735,-0.1148,0.1944,0.237
1.309000,-0.0960,-0.0941,0.1532,0.204
1.315000,-0.1110,-0.0950,0.1219,0.190
1.320000,-0.1234,-0.0699,0.0814,0.164
1.326000,-0.1170,-0.0522,0.0459,0.136
1.330000,-0.0895,-0.0277,0.0179,0.095
1.335000,-0.0481,-0.0200,0.0044,0.052
1.340000,-0.0168,-0.0171,-0.0257,0.035
1.345000,0.0163,0.0190,-0.0318,0.040
1.351000,0.0322,0.0335,-0.0332,0.057
1.356000,0.0501,0.0478,-0.0227,0.073
1.361000,0.0751,0.0667,0.0090,0.101
1.365000,0.0973,0.0619,0.0120,0.116
1.371000,0.1219,0.0666,0.0149,0.140
1.376000,0.1465,0.0572,0.0225,0.159
1.381000,0.1404,0.0741,0.0396,0.164
1.386000,0.1394,0.0696,0.0707,0.171
1.391000,0.1247,0.0604,0.0661,0.154
1.397000,0.1341,0.0346,0.0664,0.154
1.402000,0.1200,0.0280,0.0643,0.139
1.406000,0.1160,0.0310,0.0433,0.128
1.411000,0.0882,0.0173,0.0201,0.092
1.416000,0.0773,-0.0011,0.0232,0.081
1.423000,0.0639,0.0184,-0.0093,0.067
1.426000,0.0504,0.0211,0.0037,0.055
1.432000,0.0485,0.0094,-0.0096,0.050
1.437000,0.0702,0.0380,0.0010,0.080
1.442000,0.0585,0.0304,0.0329,0.074
1.449000,0.0709,0.0323,0.0933,0.122
1.454000,0.0813,0.0385,0.1272,0.156
1.457000,0.0851,0.0160,0.1396,0.164
1.462000,0.0749,0.0173,0.1141,0.138
1.467000,0.0318,0.0186,0.0840,0.092
1.472000,0.0034,0.0248,0.0305,0.039
1.478000,-0.0318,0.0217,-0.0228,0.045
1.482000,-0.0574,0.0164,-0.0353,0.069
1.487000,-0.0614,0.0160,-0.0382,0.074
1.493000,-0.0514,0.0083,-0.0008,0.052
1.499000,-0.0583,0.0102,0.0364,0.069
1.502000,-0.0463,0.0072,0.0447,0.065
1.507000,-0.0514,-0.0033,0.0650,0.083
1.514000,-0.0375,-0.0043,0.1040,0.111
1.519000,-0.0382,-0.0032,0.1216,0.127
1.524000,-0.0288,-0.0213,0.1248,0.130
1.530000,-0.0289,-0.0251,0.1139,0.120
1.534000,-0.0287,-0.0313,0.0984,0.107
1.539000,-0.0450,-0.0303,0.0521,0.075
1.543000,-0.0515,-0.0434,0.0086,0.068
1.551000,-0.0461,-0.0635,-0.0464,0.091
1.554000,-0.0571,-0.0524,-0.0796,0.111
1.561000,-0.0682,-0.0341,-0.0961,0.123
1.568000,-0.0817,-0.0323,-0.1149,0.145
1.569000,-0.0790,-0.0186,-0.1431,0.165
1.574000,-0.0792,-0.0144,-0.1522,0.172
1.581000,-0.0773,-0.0385,-0.1686,0.189
1.584000,-0.0758,-0.0265,-0.1873,0.204
1.589000,-0.0769,-0.0288,-0.1775,0.196
1.593000,-0.0523,-0.0165,-0.1489,0.159
1.600000,-0.0540,-0.0185,-0.1087,0.123
1.606000,-0.0320,-0.0156,-0.0452,0.058
1.609000,-0.0028,-0.0366,0.0250,0.044
1.615000,0.0003,-0.0363,0.1066,0.113
1.620000,0.0158,-0.0503,0.1640,0.172
1.625000,0.0010,-0.0765,0.2069,0.221
1.630000,0.0033,-0.0909,0.2116,0.230
1.636000,-0.0177,-0.1220,0.1951,0.231
1.641000,-0.0360,-0.0864,0.1455,0.173
1.645000,-0.0518,-0.0891,0.0988,0.143
1.651000,-0.0913,-0.0822,0.0405,0.129
1.655000,-0.0808,-0.0825,0.0112,0.116
1.661000,-0.0633,-0.0400,-0.0180,0.077
1.667000,-0.0675,-0.0288,-0.0160,0.075
1.672000,-0.0174,0.0037,-0.0070,0.019
1.675000,-0.0249,0.0216,0.0115,0.035
1.681000,-0.0064,0.0226,0.0298,0.038
1.687000,0.0499,0.0495,0.0600,0.092
1.690000,0.0727,0.0307,0.0782,0.111
1.697000,0.0813,0.0167,0.0821,0.117
1.702000,0.1113,0.0096,0.0837,0.140
1.708000,0.1033,-0.0118,0.1021,0.146
1.711000,0.0952,0.0166,0.0657,0.117
1.716000,0.0849,0.0329,0.0559,0.107
1.723000,0.0628,0.0325,0.0294,0.077
1.728000,0.0622,0.0419,-0.0230,0.078
1.731000,0.0450,0.0298,-0.0347,0.064
1.737000,0.0423,0.0440,-0.0083,0.062
1.742000,0.0539,0.0272,0.0013,0.060
1.750000,0.0629,0.0438,0.0298,0.082
1.754000,0.0721,0.0432,0.0796,0.116
1.757000,0.1244,0.0306,0.1364,0.187
1.763000,0.1439,0.0343,0.2024,0.251
1.767000,0.1640,0.0190,0.2324,0.285
1.772000,0.1829,-0.0060,0.2792,0.334
1.777000,0.1988,-0.0143,0.3497,0.403
1.783000,0.2330,-0.0392,0.3678,0.437
1.787000,0.2093,-0.0545,0.3742,0.432
1.792000,0.1801,-0.0815,0.3690,0.419
1.797000,0.0904,-0.0824,0.3284,0.350
1.803000,0.0566,-0.0620,0.2836,0.296
1.807000,0.0066,-0.0492,0.2584,0.263
1.813000,-0.0388,-0.0346,0.2145,0.221
1.818000,-0.0537,-0.0327,0.1759,0.187
1.822000,-0.0908,-0.0268,0.1688,0.194
1.828000,-0.0903,-0.0693,0.1453,0.185
1.832000,-0.0642,-0.0931,0.1603,0.196
1.839000,-0.0292,-0.0937,0.1397,0.171
1.844000,-0.0038,-0.0875,0.0983,0.132
1.851000,0.0074,-0.1076,0.0312,0.112
1.855000,0.0114,-0.0800,-0.0567,0.099
1.859000,0.0123,-0.0620,-0.1322,0.147
1.864000,0.0084,-0.0484,-0.2357,0.241
1.868000,-0.0196,0.0012,-0.2793,0.280
1.873000,-0.0549,0.0465,-0.3609,0.368
1.881000,-0.0434,0.0851,-0.4211,0.432
1.884000,-0.0472,0.1005,-0.4386,0.452
1.890000,-0.0680,0.1024,-0.4445,0.461
1.894000,-0.0774,0.0907,-0.4295,0.446
1.899000,-0.0686,0.0727,-0.4032,0.415
1.905000,-0.0628,0.0481,-0.3608,0.369
1.909000,-0.0289,0.0050,-0.2976,0.299
1.916000,0.0022,-0.0209,-0.2492,0.250
1.920000,0.0138,-0.0894,-0.2180,0.236
1.924000,0.0299,-0.1169,-0.2060,0.239
1.930000,0.0293,-0.1108,-0.2179,0.246
1.934000,-0.0002,-0.1117,-0.2370,0.262
1.940000,-0.0012,-0.1099,-0.2751,0.296
1.946000,-0.0215,-0.0840,-0.3108,0.323
1.952000,-0.0043,-0.0767,-0.3204,0.330
1.957000,0.0194,-0.0524,-0.3327,0.337
1.959000,0.0001,-0.0350,-0.3048,0.307
1.965000,0.0207,-0.0269,-0.2584,0.261
1.971000,0.0311,-0.0304,-0.2316,0.236
1.975000,0.0577,-0.0148,-0.1434,0.155
1.980000,0.0695,-0.0255,-0.0679,0.100
1.986000,0.0691,-0.0196,0.0165,0.074
1.990000,0.0947,-0.0187,0.0552,0.111
1.995000,0.0936,-0.0513,0.0935,0.142
2.001000,0.0856,-0.0411,0.1364,0.166
2.006000,0.0779,-0.0406,0.1792,0.200
2.010000,0.0752,-0.0452,0.2217,0.238
2.016000,0.0565,-0.0498,0.2379,0.250
2.021000,0.0716,-0.0380,0.2447,0.258
2.026000,0.0729,-0.0453,0.2468,0.261
2.032000,0.0510,-0.0359,0.2205,0.229
2.037000,0.0273,-0.0289,0.1826,0.187
2.041000,0.0115,-0.0477,0.1569,0.164
2.048000,0.0031,-0.0330,0.1195,0.124
2.051000,-0.0148,-0.0208,0.1133,0.116
2.057000,-0.0040,-0.0065,0.1072,0.107
2.062000,-0.0149,-0.0258,0.1345,0.138
2.066000,0.0007,-0.0074,0.1689,0.169
2.072000,0.0161,0.0034,0.1628,0.164
2.076000,0.0148,0.0091,0.1261,0.127
2.081000,0.0231,0.0288,0.0898,0.097
2.086000,0.0172,0.0270,0.0110,0.034
2.091000,0.0116,0.0255,-0.0434,0.052
2.097000,0.0321,0.0503,-0.0856,0.104
2.104000,0.0120,0.0634,-0.1276,0.143
2.107000,0.0109,0.0602,-0.1482,0.160
2.112000,0.0120,0.0836,-0.1759,0.195
2.117000,-0.0109,0.0810,-0.1799,0.198
2.122000,-0.0166,0.0907,-0.1246,0.155
2.127000,-0.0270,0.0984,-0.0937,0.139
2.132000,0.0126,0.0798,-0.0393,0.090
2.138000,-0.0242,0.0707,0.0076,0.075
2.142000,-0.0062,0.0521,0.0422,0.067
2.151000,0.0232,0.0166,0.0554,0.062
2.156000,0.0048,0.0025,0.0804,0.081
2.158000,0.0029,-0.0022,0.0886,0.089
2.164000,0.0081,-0.0048,0.0684,0.069
2.168000,-0.0272,-0.0149,0.0842,0.090
2.173000,-0.0285,-0.0036,0.0715,0.077
2.179000,-0.0228,-0.0139,0.0566,0.063
2.184000,-0.0313,-0.0051,0.0679,0.075
2.189000,-0.0609,-0.0061,0.0674,0.091
2.193000,-0.0521,-0.0119,0.0741,0.091
2.199000,-0.0292,-0.0177,0.0571,0.066
2.204000,-0.0349,-0.0662,0.0829,0.112
2.209000,-0.0330,-0.0885,0.1088,0.144
2.215000,-0.0453,-0.1060,0.1345,0.177
2.219000,-0.0313,-0.0904,0.1436,0.173
2.224000,0.0303,-0.1419,0.1743,0.227
2.231000,0.0155,-0.1221,0.2310,0.262
2.234000,-0.0108,-0.0859,0.2375,0.253
2.240000,-0.0082,-0.0816,0.2895,0.301
2.245000,0.0116,-0.1206,0.3628,0.382
2.251000,0.0249,-0.1266,0.4146,0.434
2.254000,0.0316,-0.1477,0.4476,0.472
2.260000,0.0126,-0.1578,0.5000,0.524
2.267000,-0.0836,-0.2140,0.5978,0.640
2.270000,-0.0490,-0.2882,0.7360,0.792
2.275000,0.0924,-0.4687,0.8910,1.011
2.281000,0.0551,-0.5607,1.2080,1.333
2.285000,0.0283,-0.6341,1.3842,1.523
2.290000,0.0319,-0.6300,1.5424,1.666
2.295000,-0.0308,-0.6028,1.5520,1.665
2.300000,-0.0603,-0.5593,1.3544,1.467
2.306000,-0.1092,-0.4602,1.0100,1.115
2.310000,-0.0561,-0.3715,0.6288,0.733
2.315000,-0.1031,-0.2471,0.2820,0.389
2.321000,-0.2914,-0.1534,0.0191,0.330
2.326000,-0.8585,-0.0660,-0.0683,0.864
2.331000,-0.6374,0.0013,-0.5032,0.812
2.336000,-0.1966,0.0568,-1.0075,1.028
2.340000,-0.0621,0.0964,-1.2366,1.242
2.345000,0.0414,0.1473,-1.4809,1.489
2.353000,-0.0095,0.2852,-1.9687,1.989
2.359000,-0.0830,0.3730,-2.5754,2.604
2.361000,-0.2204,0.4125,-3.0558,3.091
2.367000,-0.2083,0.3905,-3.0666,3.098
2.374000,0.0003,0.3590,-2.5731,2.598
2.376000,0.2609,0.3873,-1.7748,1.835
2.380000,0.4138,0.3966,-0.9483,1.108
2.385000,0.4361,0.4240,-0.2216,0.647
2.390000,0.4101,0.4281,0.3653,0.696
2.396000,0.3006,0.3978,0.7094,0.867
2.401000,0.2391,0.3057,0.6549,0.761
2.406000,0.1627,0.2793,0.4218,0.531
2.411000,0.0888,0.2546,0.3017,0.405
2.416000,0.0563,0.2821,0.2755,0.398
2.421000,-0.0230,0.3341,0.2086,0.395
2.426000,-0.1498,0.2725,-0.0095,0.311
2.431000,-0.3966,0.2037,-0.3722,0.581
2.437000,-0.5315,0.2647,-0.7244,0.937
2.441000,-0.5094,0.3239,-0.9467,1.123
2.446000,-0.4043,0.3214,-1.0461,1.167
2.452000,-0.3700,0.2493,-1.0562,1.147
